—ﬁ„ «·›« Ê—…,«· «—ÌŒ,«”„ «·’‰›,«·„‰ÿﬁ…,«·„‰œÊ»,«·ﬂ„Ì…,”⁄— «·ÊÕœ…,«·≈Ã„«·Ì
INV-1031,2026-02-10,ﬂ—”Ì „ﬂ » œÊ¯«—,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,1,12500,22000
INV-1032,2026-08-12,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,œ„‘ﬁ,·Ì·Ï «·‰Ã«—,10,9000,90000
INV-1033,2026-06-28,ﬂ—”Ì „ﬂ » œÊ¯«—,«··«–ﬁÌ…,√Õ„œ «·Õ·»Ì,8,9000,37500
INV-1034,2026-03-24,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,œ„‘ﬁ,”«„— ŒÊ—Ì,19,12500,30000
INV-1035,2026-01-18,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,√Õ„œ «·Õ·»Ì,18,12500,87500
INV-1036,2026-05-26,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ„’,√Õ„œ «·Õ·»Ì,11,15000,154000
INV-1037,2026-01-16,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,œ„‘ﬁ,”«„— ŒÊ—Ì,9,22000,50000
INV-1038,2026-06-21,ÿ«»⁄… «‰‘ »Ì ·Ì“—,Õ„’,·Ì·Ï «·‰Ã«—,13,12500,90000
INV-1039,2026-07-15,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,·Ì·Ï «·‰Ã«—,13,38000,12500
INV-1040,2026-04-11,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ·»,·Ì·Ï «·‰Ã«—,7,9000,286000
INV-1041,2026-03-24,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,œ„‘ﬁ,√Õ„œ «·Õ·»Ì,11,15000,25000
INV-1042,2026-06-20,ÿ«»⁄… «‰‘ »Ì ·Ì“—,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,18,22000,220000
INV-1043,2026-06-17,ÿ«»⁄… «‰‘ »Ì ·Ì“—,Õ·»,·Ì·Ï «·‰Ã«—,8,9000,9000
INV-1044,2026-03-24,‘«‘… ”«„”Ê‰Ã 27,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,15,38000,240000
INV-1045,2026-03-10,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,«··«–ﬁÌ…,√Õ„œ «·Õ·»Ì,4,38000,225000
INV-1046,2026-08-13,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,·Ì·Ï «·‰Ã«—,1,38000,38000
INV-1047,2026-01-16,‘«‘… ”«„”Ê‰Ã 27,Õ„’,√Õ„œ «·Õ·»Ì,18,22000,18000
INV-1048,2026-04-21,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,«··«–ﬁÌ…,”«„— ŒÊ—Ì,4,22000,88000
INV-1049,2026-07-19,‘«‘… ”«„”Ê‰Ã 27,Õ·»,”«„— ŒÊ—Ì,9,15000,684000
INV-1050,2026-01-24,ﬂ—”Ì „ﬂ » œÊ¯«—,Õ„’,√Õ„œ «·Õ·»Ì,6,15000,125000
INV-1051,2026-01-26,ÿ«»⁄… «‰‘ »Ì ·Ì“—,Õ„’,√Õ„œ «·Õ·»Ì,18,9000,225000
INV-1052,2026-07-16,·«» Ê» œÌ· «‰”»«Ì—Ê‰,œ„‘ﬁ,√Õ„œ «·Õ·»Ì,8,12500,112500
INV-1053,2026-04-15,‘«‘… ”«„”Ê‰Ã 27,Õ·»,√Õ„œ «·Õ·»Ì,10,9000,45000
INV-1054,2026-05-15,ﬂ—”Ì „ﬂ » œÊ¯«—,Õ·»,√Õ„œ «·Õ·»Ì,6,12500,45000
INV-1055,2026-05-16,‘«‘… ”«„”Ê‰Ã 27,Õ·»,”«„— ŒÊ—Ì,4,9000,225000
INV-1056,2026-01-26,ﬂ—”Ì „ﬂ » œÊ¯«—,Õ·»,√Õ„œ «·Õ·»Ì,16,38000,36000
INV-1057,2026-01-23,‘«‘… ”«„”Ê‰Ã 27,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,19,22000,88000
INV-1058,2026-03-28,ﬂ—”Ì „ﬂ » œÊ¯«—,«··«–ﬁÌ…,”«„— ŒÊ—Ì,8,22000,100000
INV-1059,2026-01-21,ÿ«»⁄… «‰‘ »Ì ·Ì“—,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,12,38000,38000
